Idx,Categ_Folder,Dataset_File,min_global_record_idx,max_global_record_idx
0,animal_class,animal_class.csv,0,164
1,animal_class,animal_class_conj.csv,164,664
2,animal_class,animal_class_disj.csv,664,1164
3,animal_class,neg_animal_class.csv,1164,1328
4,cities,cities.csv,1328,2824
5,cities,cities_conj.csv,2824,4322
6,cities,cities_disj.csv,4322,4822
7,cities,neg_cities.csv,4822,6318
8,element_symb,element_symb.csv,6318,6504
9,element_symb,element_symb_conj.csv,6504,7004
10,element_symb,element_symb_disj.csv,7004,7504
11,element_symb,neg_element_symb.csv,7504,7690
12,facts,facts.csv,7690,8251
13,facts,facts_conj.csv,8251,8751
14,facts,facts_disj.csv,8751,9251
15,facts,neg_facts.csv,9251,9812
16,inventors,inventors.csv,9812,10218
17,inventors,inventors_conj.csv,10218,10718
18,inventors,inventors_disj.csv,10718,11218
19,inventors,neg_inventors.csv,11218,11624
20,real_world_scenarios,ambiguous_lie.csv,11624,11642
21,real_world_scenarios,ambiguous_truthful_reply.csv,11642,11665
22,real_world_scenarios,honest_reply_despite_incentive_to_lie.csv,11665,11671
23,real_world_scenarios,unambiguous_lie.csv,11671,11720
24,real_world_scenarios,unambiguous_truthful_reply.csv,11720,11775
25,relative_comparison,larger_than.csv,11775,13755
26,relative_comparison,smaller_than.csv,13755,15735
27,sp_en_trans,neg_sp_en_trans.csv,15735,16089
28,sp_en_trans,sp_en_trans.csv,16089,16443
29,sp_en_trans,sp_en_trans_conj.csv,16443,16943
30,sp_en_trans,sp_en_trans_disj.csv,16943,17443
31,true_false,common_claim_true_false.csv,17443,21893
32,true_false,counterfact_true_false.csv,21893,53857
